stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id
ST,Soi Pracha Uthit 19,13.6644593,100.5035437,ST,,
ST,Soi Pracha Uthit 14,13.6646811,100.5034517,ST,,
ST,Soi Pracha Uthit 17,13.6664732,100.5042626,ST,,
ST,Soi Pracha Uthit 8,13.6672127,100.5043336,ST,,
ST,Opposite Chetupon Commercial College,13.6689045,100.5050198,ST,,
ST,Chetupon Commercial College,13.6692541,100.5049925,ST,,
ST,Soi Pracha Uthit 2,13.6714643,100.5058141,ST,,
ST,Soi Pracha Uthit 1,13.6716251,100.5060631,ST,,
ST,Pracha Uthit Junction,13.6727948,100.5071549,ST,,
ST,Opposite Wat Sarot,13.6744098,100.5045482,ST,,
ST,Wat Sarot,13.6744209,100.5039419,ST,,
ST,Rat Phatthana Junction,13.6763431,100.5024123,ST,,
ST,Opposite Bangpakok Market,13.6768651,100.5000408,ST,,
ST,Bangpakok Market,13.6773208,100.4999417,ST,,
ST,Bangpakok 1 Hospital,13.6780623,100.4987102,ST,,
ST,Opposite Bangpakok 1 Hospital,13.6781544,100.4979906,ST,,
ST,Opposite Soi Anamai,13.6791043,100.4971211,ST,,
ST,Soi Anamai,13.6796453,100.4956573,ST,,
ST,Opposite Soi Wat Bangpakok(Suksawat side),13.6805964,100.4942464,ST,,
ST,Soi Wat Bangpakok(Suksawat side),13.6810177,100.49420164,ST,,
ST,Big C Bangpakok,13.6822037,100.4925208,ST,,
ST,Makro Suksawat,13.6825428,100.4914845,ST,,
ST,Wat Pho Kaeo,13.6840540,100.4869313,ST,,
ST,Opposite Wat Pho Kaeo,13.6843237,100.4856809,ST,,
ST,Asterapride Village,13.6834099,100.4850272,ST,,
ST,Rama 2 Soi 4,13.6836982,100.4834282,ST,,
ST,Chomthong District Office,13.6826057,100.4818144,ST,,
ST,Opposite Chomthong District Office,13.6831098,100.4810530,ST,,
ST,Opposite Oh Ae Market,13.6824083,100.4783713,ST,,
ST,Oh Ae Market,13.6816648,100.4783817,ST,,
ST,Bangpakok 9 International Hospital,13.6814417,100.4744861,ST,,
ST,Rama 2 Soi 21,13.6808662,100.4750200,ST,,
ST,Phuttha Bucha Road,13.6801490,100.4722481,ST,,
ST,Opposite Phuttha Bucha Road,13.6807096,100.4716629,ST,,
ST,The Niche ID Rama 2,13.6791021,100.4684089,ST,,
ST,Rama 2 Soi 20,13.6796862,100.4679758,ST,,
ST,Soi Wat Si Suk,13.6791140,100.4666167,ST,,
ST,Wat Yai Rom,13.6784369,100.4667568,ST,,
ST,Chicha Village,13.6760925,100.4627002,ST,,
ST,Rama 2 Soi 30,13.6766263,100.4622218,ST,,
ST,Rama 2 Soi 27,13.6752688,100.4613309,ST,,
ST,Rama 2 Soi 32,13.6752534,100.4599471,ST,,
ST,Rama 2 Soi 39,13.6744976,100.4600131,ST,,
ST,Origins Bangmod-Rama2,13.6742058,100.4582183,ST,,
ST,Bangmod Police Station,13.6731121,100.4564426,ST,,
ST,Bangmod Hospital,13.6720502,100.4560109,ST,,
ST,Anamai Ngam Charoen Road,13.6688298,100.4506608,ST,,
ST,Wat Kok,13.6692121,100.4499979,ST,,
ST,Rama 2 Soi 49,13.6678577,100.4490573,ST,,
ST,Wat Lao,13.6670128,100.4476480,ST,,
