shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SUKHUMVIT_MAIN,13.879305, 100.599020,114
SUKHUMVIT_MAIN,13.878933, 100.598805,115
SUKHUMVIT_MAIN,13.878313, 100.598446,116
SUKHUMVIT_MAIN,13.878313, 100.598446,117
SUKHUMVIT_MAIN,13.877248, 100.597810,118
SUKHUMVIT_MAIN,13.877139, 100.597754,119
SUKHUMVIT_MAIN,13.876639, 100.597491,120
SUKHUMVIT_MAIN,13.876235, 100.597312,121
SUKHUMVIT_MAIN,13.875826, 100.597075,122
SUKHUMVIT_MAIN,13.875280, 100.596732,123
SUKHUMVIT_MAIN,13.874660, 100.596386,124
SUKHUMVIT_MAIN,13.874423, 100.596223,125
SUKHUMVIT_MAIN,13.874176, 100.596040,126
SUKHUMVIT_MAIN,13.873996, 100.595914,127
SUKHUMVIT_MAIN,13.873821, 100.595807,128
SUKHUMVIT_MAIN,13.873525, 100.595630,129
SUKHUMVIT_MAIN,13.873116, 100.595378,130
SUKHUMVIT_MAIN,13.872673, 100.595120,131
SUKHUMVIT_MAIN,13.872150, 100.594790,132
SUKHUMVIT_MAIN,13.872103, 100.594755,133
SUKHUMVIT_MAIN,13.871715, 100.594450,134
SUKHUMVIT_MAIN,13.871512, 100.594310,135
SUKHUMVIT_MAIN,13.871191, 100.594104,136
SUKHUMVIT_MAIN,13.870775, 100.593854,137
SUKHUMVIT_MAIN,13.870366, 100.593618,138
SUKHUMVIT_MAIN,13.869939, 100.593363,139
SUKHUMVIT_MAIN,13.869504, 100.593111,140
SUKHUMVIT_MAIN,13.868194, 100.592336,141
SUKHUMVIT_MAIN,13.867858, 100.592132,142
SUKHUMVIT_MAIN,13.867580, 100.591979,143
SUKHUMVIT_MAIN,13.867343, 100.591840,144
SUKHUMVIT_MAIN,13.866835, 100.591537,145
SUKHUMVIT_MAIN,13.866330, 100.591244,146
SUKHUMVIT_MAIN,13.865801, 100.590928,147
SUKHUMVIT_MAIN,13.865327, 100.590649,148
SUKHUMVIT_MAIN,13.864864, 100.590375,149
SUKHUMVIT_MAIN,13.864304, 100.590040,150
SUKHUMVIT_MAIN,13.863785, 100.589737,151
SUKHUMVIT_MAIN,13.863345, 100.589479,152
SUKHUMVIT_MAIN,13.862884, 100.589198,153
SUKHUMVIT_MAIN,13.862353, 100.588892,154
SUKHUMVIT_MAIN,13.861835, 100.588581,155
SUKHUMVIT_MAIN,13.861330, 100.588288,156
SUKHUMVIT_MAIN,13.860614, 100.587867,157
SUKHUMVIT_MAIN,13.860098, 100.587567,158
SUKHUMVIT_MAIN,13.859580, 100.587267,159
SUKHUMVIT_MAIN,13.859098, 100.586980,160
SUKHUMVIT_MAIN,13.858538, 100.586650,161
SUKHUMVIT_MAIN,13.858033, 100.586344,162
SUKHUMVIT_MAIN,13.857126, 100.585810,163
SUKHUMVIT_MAIN,13.856257, 100.585300,164
SUKHUMVIT_MAIN,13.856044, 100.585177,165
