stop_id,stop_name,stop_name_th,stop_lat,stop_lon,stop_code,stop_desc,zone_id
BL16,Ratchadaphisek,รัชดาภิเษก,13.7989706, 100.5745537,BL16,MRT Blue Line,
BL17,Sutthisan,สุทธิสาร,13.7894884, 100.5740801,BL17,MRT Blue Line,
BL18,Huai Khwang,ห้วยขวาง,13.7786878, 100.5735662,BL18,MRT Blue Line,
BL19,Thailand Cultural Centre,ศูนย์วัฒนธรรมแห่งประเทศไทย,13.766222, 100.570154,BL19,MRT Blue Line,
BL20,Phra Ram 9,พระราม 9,13.7578166, 100.5652774,BL20,MRT Blue Line,
BL21,Phetchaburi,เพชรบุรี,13.7491853, 100.5634165,BL21,MRT Blue Line,
BL22,Sukhumvit,สุขุมวิท,13.737374, 100.561477,BL22,MRT Blue Line,
BL23,Queen Sirikit National Convention Centre,ศูนย์ประชุมแห่งชาติสิริกิติ์,13.7226725, 100.5599134,BL23,MRT Blue Line,
BL24,Khlong Toei,คลองเตย,13.7221264, 100.5543696,BL24,MRT Blue Line,
BL25,Lumphini,ลุมพินี,13.7256066, 100.5457249,BL25,MRT Blue Line,
BL26,Si Lom,สีลม,13.7291982, 100.5370702,BL26,MRT Blue Line,
BL27,Sam Yan,สามย่าน,13.7320608, 100.5301206,BL27,MRT Blue Line,
BL28,Hua Lamphong,หัวลำโพง,13.7375708, 100.5171350,BL28,MRT Blue Line,
BL29,Wat Mangkon,วัดมังกร,13.7422095, 100.5099097,BL29,MRT Blue Line,
BL30,Sam Yot,สามยอด,13.7470004, 100.5023022,BL30,MRT Blue Line,
BL31,Sanam Chai,สนามไชย,13.7443259, 100.4946239,BL31,MRT Blue Line,
BL32,Itsaraphap,อิสรภาพ,13.7383645, 100.4857002,BL32,MRT Blue Line,
BL33,Bang Phai,บางไผ่,13.724623, 100.465078,BL33,MRT Blue Line,
BL34,Bang Wa,บางหว้า,13.720278, 100.457023,BL34,MRT Blue Line,
BL35,Phetkasem 48,เพชรเกษม 48,13.7155591, 100.4454508,BL35,MRT Blue Line,
BL36,Phasi Charoen,ภาษีเจริญ,13.712914, 100.434326,BL36,MRT Blue Line,
BL37,Bang Khae,บางแค,13.7119437, 100.4223368,BL37,MRT Blue Line,
BL38,Lak Song,หลักสอง,13.7108774, 100.4094849,BL38,MRT Blue Line,
PK01,Nonthaburi Civic Center,ศูนย์ราชการจังหวัดนนทบุรี,13.859699, 100.518114,PK01,MRT Pink Line,
PK02,Khae Rai,แคราย,13.862648, 100.520640,PK02,MRT Pink Line,
PK03,Sanambin Nam,สนามบินน้ำ,13.874135, 100.516293,PK03,MRT Pink Line,
PK04,Samakkhi,สามัคคี,13.889268, 100.510559,PK04,MRT Pink Line,
PK05,Royal Irrigation Department,กรมชลประทาน,13.898558, 100.507071,PK05,MRT Pink Line,
PK06,Yaek Pak Kret,แยกปากเกร็ด,13.906189, 100.505424,PK06,MRT Pink Line,
PK07,Pak Kret Bypass,ปากเกร็ดบายพาส,13.906476, 100.515576,PK07,MRT Pink Line,
PK08,Chaeng Watthana-Pak Kret 28,แจ้งวัฒนะ-ปากเกร็ด 28,13.904142, 100.529258,PK08,MRT Pink Line,
PK09,Si Rat,ศรีรัช,13.9005741,100.5400085,PK09,MRT Pink Line,
PK10,Muang Thong Thani,เมืองทองธานี,13.897398, 100.548436,PK10,MRT Pink Line,
PK11,Chaeng Watthana 14,แจ้งวัฒนะ 14,13.893281, 100.560147,PK11,MRT Pink Line,
PK12,Goverment Complex,ศูนย์ราชการ,13.890752, 100.567346,PK12,MRT Pink Line,
PK13,National Telecom,เนชั่นแนลเทเลคอม,13.887563, 100.575709,PK13,MRT Pink Line,
PK14,Lak Si,หลักสี่,13.884055, 100.582674,PK14,MRT Pink Line,
PK15,Rajabhat Phranakhon,ราชภัฏพระนคร,13.879925, 100.589289,PK15,MRT Pink Line,
PK16,Wat Phra Sri Mahathat,วัดพระศรีมหาธาตุ,13.8743621,100.5972049,PK16,MRT Pink Line,
PK17,Ram Inthra 3,รามอินทรา 3,13.870936, 100.602609,PK17,MRT Pink Line,
PK18,Lat Pla Khao,ลาดปลาเค้า,13.862774, 100.617809,PK18,MRT Pink Line,
PK19,Ram Inthra Kor Mor 4,รามอินทรา กม.4,13.858291, 100.626121,PK19,MRT Pink Line,
PK20,Maiyalap,มัยลาภ,13.854999, 100.632218,PK20,MRT Pink Line,
PK21,Vacharaphol,วัชรพล,13.849248, 100.642871,PK21,MRT Pink Line,
PK22,Ram Inthra Kor Mor 6,รามอินทรา กม.6,13.845245, 100.650231,PK22,MRT Pink Line,
PK23,Khu Bon,คู้บอน,13.840609, 100.658781,PK23,MRT Pink Line,
PK24,Ram Kor Mor 9,รามอินทรา กม.9,13.833770, 100.667558,PK24,MRT Pink Line,
PK25,Outer Ring Road-Ram Inthra,วงแหวนรามอินทรา,13.824437, 100.677198,PK25,MRT Pink Line,
PK26,Nopparat,นพรัตน์,13.816521, 100.685639,PK26,MRT Pink Line,
PK27,Bang Chan,บางชัน,13.812702, 100.702937,PK27,MRT Pink Line,
PK28,Setthabutbamphen,เศรษฐบุตรบำเพ็ญ,13.812678, 100.712627,PK28,MRT Pink Line,
PK29,Min Buri Market,ตลาดมีนบุรี,13.812493, 100.725837,PK29,MRT Pink Line,
PK30,Min Buri,มีนบุรี,13.808401, 100.732674,PK30,MRT Pink Line,
MT01,Impact Muang Thong Thani,อิมแพ็ค เมืองทองธานี,13.910444, 100.544246 ,MT01,MRT Pink Line,
MT02,Lake Muang Thong Thani,ทะเลสาบเมืองทองธานี,13.918382, 100.545652,MT02,MRT Pink Line,
YL01,Lat Phrao,ลาดพร้าว,13.806981, 100.574808,YL01,MRT Yellow Line,
YL02,Phawana,ภาวนา,13.800178, 100.584203,YL02,MRT Yellow Line,
YL03,Chok Chai 4,โชคชัย 4,13.794445, 100.594441,YL03,MRT Yellow Line,
YL04,Lat Phrao 71,ลาดพร้าว 71,13.787107, 100.607584,YL04,MRT Yellow Line,
YL05,Lat Phrao 83,ลาดพร้าว 83,13.783715, 100.613673,YL05,MRT Yellow Line,
YL06,Mahat Thai,มหาดไทย,13.778387, 100.623173,YL06,MRT Yellow Line,
YL07,Lat Phrao 101,ลาดพร้าว 101,13.774649, 100.629857,YL07,MRT Yellow Line,
YL08,Bang Kapi,บางกะปิ,13.769085, 100.639779,YL08,MRT Yellow Line,
