stop_id,stop_name,stop_name_en,stop_lat,stop_lon,stop_desc
relation/18567053,โรงเรียนวัดเวฬุราชิณ,โรงเรียนวัดเวฬุราชิณ,13.726068,100.486109,school
relation/18721909,สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม (ส.ป.ก.),สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม (ส.ป.ก.),13.757831,100.506073,government
relation/18728184,Baiyoke Sky Hotel,Baiyoke Tower II,13.754615,100.540542,hotel
relation/18728185,Baiyoke Sky Hotel,Baiyoke Tower II,13.754584,100.540534,hotel
relation/18774182,มหาวิทยาลัยหอการค้าไทย,University of Thai Chamber of Commerce,13.779378,100.560493,university
relation/18776856,กระทรวงการต่างประเทศ,Ministry of Foreign Affairs,13.763053,100.524940,government
relation/18778306,วงเวียนใหญ่,Wongwian Yai,13.726308,100.493106,park
relation/18940976,สถาบันการประชาสัมพันธ์,สถาบันการประชาสัมพันธ์,13.783552,100.540113,government
relation/19002023,เซ็นทรัล อีสต์วิลล์,Central Eastville,13.803729,100.613925,mall
relation/19145963,กรมทางหลวง,กรมทางหลวง,13.760673,100.525137,government
relation/19197396,โรงเรียนวัดสระเกศ,Wat Saket School,13.753142,100.508973,school
relation/19216757,โรงเรียนบางกอกพัฒนา,Bangkok Patana School,13.663731,100.621770,school
relation/19257596,สวนนวภิรมย์ร่มเกล้า,สวนนวภิรมย์ร่มเกล้า,13.755900,100.746525,park
relation/19305796,โรงเรียนวชิราวุธวิทยาลัย,Vajiravudh College,13.777066,100.518263,school
relation/19401911,โรงเรียนราชวินิต,Rachawinit School,13.771756,100.508368,school
relation/19408133,มหาวิทยาลัยสวนดุสิต,Suan Dusit University,13.776213,100.510450,university
relation/19468266,วัดดุสิดารามวรวิหาร,Wat Dusidaram Worawihan,13.763566,100.487642,place_of_worship
relation/19482275,สวนสาธารณะวงแหวน-พุทธมณฑล สาย 2,Wong Waen-Phutthamonthon Sai 2 Park,13.753794,100.401415,park
relation/19654089,สวนสาธารณะสะพานพระราม 7,Rama VII Bridge Park,13.816351,100.515606,park
relation/19809956,โรงพยาบาลบำรุงราษฎร์,Bumrungrad International Hospital,13.746630,100.552427,hospital
relation/19894289,สนามไชย,Sanam Chai,13.750375,100.494103,garden
relation/20002563,กองบัญชาการตำรวจนครบาล,Metropolitan Police Bureau,13.768361,100.509572,government
relation/20004487,วัดอินทราวาส,Wat Inthrawat,13.758190,100.433484,place_of_worship
relation/20052804,ราชวิทยาลัยจุฬาภรณ์,Chulabhorn Royal Academy,13.881281,100.571584,university
relation/20058967,โรงเรียนสาธิตจุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University Demonstration School,13.736861,100.527102,school
relation/20081092,ไวร์เลส ปาร์,ไวร์เลส ปาร์,13.727297,100.545082,garden
relation/20145479,โรงพยาบาล สินแพทย์ รามอินทรา,Synphaet Ramindra Hospital,13.833797,100.666435,hospital
relation/20160704,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) 2,Bodindecha (Sing Singhaseni) 2 School,13.814400,100.655344,school
relation/20173918,เกษรวิลเลจ,Gaysorn Village,13.745148,100.540696,mall
relation/20175000,PB Hotel,PB Hotel,13.746069,100.554705,hotel
relation/20313115,สวนทวีวนารมย์,Thawiwanarom Park,13.744940,100.352328,park
relation/20348290,กรมโยธาธิการและผังเมือง,กรมโยธาธิการและผังเมือง,13.776515,100.530347,government
relation/20425793,โรงเรียนกรุงเทพคริสเตียนวิทยาลัย,Bangkok Christian College,13.720861,100.522544,school
relation/20441959,Waterford Resort @ Sukhumvit 50,Waterford Resort @ Sukhumvit 50,13.707132,100.593300,hotel
relation/20443088,วัดต้นไทรย์,Wat Ton Sai,13.712569,100.626445,place_of_worship
relation/20443092,วัดทองใน,Wat Thong Nai,13.711741,100.621720,place_of_worship
relation/20443095,วัดยาง,Wat Yang,13.710284,100.619058,place_of_worship
relation/20443103,วัดมหาบุศย์,Wat Maha But,13.714793,100.606832,place_of_worship
relation/20443106,วัดชัยภูมิการาม,Wat Chaiyaphummikaram,13.740210,100.508900,place_of_worship
relation/20443113,สำนักแพทย์และอนามัย การท่าเรือฯ,สำนักแพทย์และอนามัย การท่าเรือฯ,13.714841,100.565895,hospital
relation/20448552,ศูนย์เยาวชนคลองเตย,Khlong Toei Youth Center,13.711031,100.568824,community_centre
relation/20448558,โรงเรียนชุมชนหมู่บ้านพัฒนา,โรงเรียนชุมชนหมู่บ้านพัฒนา,13.710770,100.574972,school
relation/20456152,โรงเรียนศูนย์รวมน้ำใจ,โรงเรียนศูนย์รวมน้ำใจ,13.712924,100.569965,school
relation/20505830,มหาวิทยาลัยธรรมศาสตร์ ท่าพระจันทร์,Thammasat University Tha Phra Chan,13.758158,100.490215,university
relation/20505831,สถาบันบัณฑิตพัฒนศิลป์,Bunditpatanasilpa Institute of Fine Arts,13.759444,100.491421,college
way/23481741,วัดอรุณ,Wat Arun,13.744127,100.488928,place_of_worship
way/23483299,สวนลุมพินี,Lumphini Park,13.731114,100.541714,park
way/23486019,สวนสราญรมย์,Saranrom Park,13.748288,100.495402,park
way/23486417,สวนจตุจักร,Chatuchak Park,13.808807,100.556185,park
way/23487144,อุทยานเบญจสิริ,Benchasiri Park,13.730507,100.567370,park
way/23487332,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,Queen Sirikit Park,13.807178,100.551499,park
way/23487550,สวนวชิรเบญจทัศ,Wachirabenchathat Park,13.813532,100.554359,park
way/23630232,สนามหลวง,Sanam Luang,13.755234,100.493091,park
way/25505429,เอ็มโพเรียม,Emporium,13.730395,100.568894,mall
way/25507548,สำนักงานตรวจคนเข้าเมือง,Immigration Bureau,13.717958,100.539980,government
way/25620935,เซ็นทรัลบางนา,เซ็นทรัลบางนา,13.669586,100.634388,mall
way/25699980,Miracle Mall,Miracle Mall,13.729169,100.572121,mall
way/25701334,สยามเซ็นเตอร์,Siam Center,13.746272,100.532837,mall
way/25714940,พระปฐมบรมราชานุสรณ์เฉลิมพระเกียรติ,พระปฐมบรมราชานุสรณ์เฉลิมพระเกียรติ,13.741332,100.498273,park
way/25745689,บิ๊กซี ซูเปอร์เซ็นเตอร์,Big C Supercenter,13.746987,100.541622,mall
way/25787534,InterContinental Bangkok,InterContinental Bangkok,13.744785,100.541315,hotel
way/25787548,เกษรอัมรินทร์,Gaysorn Amarin,13.743792,100.541236,mall
way/25829186,The 49 Terrace,The 49 Terrace,13.732068,100.576027,mall
way/25829192,โรงพยาบาลสมิติเวช สุขุมวิท,Samitivej Sukhumvit Hospital,13.734801,100.576478,hospital
way/25829350,Hilton Bangkok Grande Asoke,Hilton Bangkok Grande Asoke,13.739028,100.562034,hotel
way/25829356,The Four Wings Hotel,The Four Wings Hotel,13.724645,100.568999,hotel
way/25829369,Robinson,Robinson,13.738414,100.559450,department_store
way/25829599,Conrad Bangkok,Conrad Bangkok,13.738663,100.548366,hotel
way/25829679,Erawan Bangkok,Erawan Bangkok,13.743645,100.540513,mall
way/25972563,เดอะ สตรีท รัชดา,The Street Ratchada,13.770601,100.572329,department_store
way/26576748,สวนธนบุรีรมย์,Thonburirom Park,13.651689,100.491231,park
way/27276459,โรงเรียนสวนลุมพินี,Suan Lumpinee School,13.733190,100.545296,school
way/27644094,Wave Place,Wave Place,13.743863,100.547883,mall
way/30014105,วัดพุทธบูชา,Wat Puttha Bucha,13.650743,100.473546,place_of_worship
way/30135060,โรงแรมสุโขทัย กรุงเทพฯ,The Sukhothai Bangkok,13.722906,100.541128,hotel
way/30135142,ซัมเมอร์เซ็ท ปาร์ค สวนพลู,Somerset Park Suanplu,13.721624,100.537939,hotel
way/30135300,สีลมคอมเพล็กซ์,สีลมคอมเพล็กซ์,13.728360,100.535220,mall
way/30715477,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,Rajamangala University of Technology Krungthep,13.713361,100.538161,university
way/30754265,เดอะมอลล์ ท่าพระ,The Mall Thapra,13.713610,100.480117,mall
way/31133906,แฟชั่นไอส์แลนด์,Fashion Island Shopping Mall,13.825925,100.678622,department_store
way/31134625,โรงพยาบาลวิภาวดี,Vibhavadi Hospital,13.846338,100.562074,hospital
way/31134648,Rama Garden,Rama Garden,13.859978,100.571329,hotel
way/31141099,โรงเรียนบางกะปิ,โรงเรียนบางกะปิ,13.770703,100.651521,school
way/31141120,เดอะมอลล์กรุ๊ป,The Mall Lifestore Bangkapi,13.766690,100.642623,mall
way/31141565,พันธุ์ทิพย์พลาซ่า,Phenix,13.750154,100.537127,mall
way/31141613,เดอะ แพลทินัม แฟชั่น มอลล์,The Platinum Fashion Mall,13.749899,100.540062,mall
way/31579129,สวนพฤกษชาติคลองจั่น,สวนพฤกษชาติคลองจั่น,13.776305,100.647316,garden
way/31971262,โรงเรียนเตรียมอุดมศึกษา,Triam Udom Suksa School,13.740429,100.532965,school
way/31971450,โรงเรียนสาธิต มศว ปทุมวัน,"Patumwan Demonstration School, Srinakharinwirot University",13.740352,100.534071,school
way/31972720,มหาวิทยาลัยเทคโนโลยีราชมงคล วิทยาเขตอุเทนถวาย,Rajamangala University of Technology Uthenthawai,13.741589,100.530932,university
way/31974134,โรงพยาบาลจุฬาลงกรณ์,King Chulalongkorn Memorial Hospital,13.733124,100.535938,hospital
way/31983987,วัดปทุมวนารามราชวรวิหาร,Wat Pathum Wanaram Ratchaworawihan,13.746521,100.536757,place_of_worship
way/31987455,United Nations Building,United Nations Building,13.763456,100.508335,government
way/31987718,วัดเบญจมบพิตรดุสิตวนารามราชวรวิหาร,Wat Benchamabophit Dusit Wanaram Ratchaworawihan,13.766111,100.514026,place_of_worship
way/31989428,สถาบันการพยาบาลศรีสวรินทิรา สภากาชาดไทย,Srisavarindhira Thai Red Cross Institute of Nursing,13.732161,100.534326,college
way/32004866,Crowne Plaza Bangkok Lumpini Park,Crowne Plaza Bangkok Lumpini Park,13.729700,100.534929,hotel
way/32005418,อาสนวิหารอัสสัมชัญ,Assumption Cathedral,13.723107,100.515215,place_of_worship
way/32011053,วัดสุทัศนเทพวรารามราชวรมหาวิหาร,Wat Suthat Thep Wararam Ratchaworamahawihan,13.750137,100.500815,place_of_worship
way/32089660,โรงเรียนสาธิตแห่งมหาวิทยาลัยเกษตรศาสตร์,Kasetsart University Laboratory School,13.851654,100.568244,school
way/32095973,Water Bank รัชวิภา,Water Bank รัชวิภา,13.830925,100.558496,park
way/33042465,สวนหลวง ร.๙,Suan Luang Rama IX,13.686845,100.663842,park
way/33434999,ซีคอนสแควร์,Seacon Square,13.694164,100.648484,mall
way/33435000,พาราไดซ์ พาร์ค,Paradise Park,13.687722,100.647478,mall
